GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
90,7800,14,99,24.3253,335967888094
90,7800,09,98,24.3278,335975972699
90,7800,01,98,24.3308,336182803844
90,7800,14,97,24.333,336130927629
90,7800,94,98,24.3353,336155181444
90,7800,84,99,24.3379,336062882203
90,7800,05,98,24.3402,336031891217
90,7800,17,98,24.3434,336121495589
90,7800,24,99,24.3463,336037954671
90,7800,10,98,24.3485,336183477561
90,7800,97,99,24.3509,336144401970
90,7800,78,98,24.3527,336141033385
90,7800,24,98,24.3551,336105326379
90,7800,23,99,24.3583,336126885326
90,7800,29,98,24.3609,336193583317
90,7800,29,98,24.364,336229964040
90,7800,98,98,24.3657,336150465424
90,7800,88,98,24.3679,336258260158
90,7800,14,99,24.3705,336172024371
90,7800,16,98,24.3729,336118127004
90,7800,10,98,24.3754,336198973054
90,7800,28,98,24.3774,336159223746
90,7800,02,98,24.3796,336083767433
90,7800,94,99,24.3819,336174045522
90,7800,88,98,24.3847,336175392956
90,7800,28,98,24.3877,336143054536
90,7800,16,99,24.3908,336167308351
90,7800,12,98,24.3932,336173371805
90,7800,89,98,24.397,336075009111
90,7800,94,98,24.4005,336031891217
90,7800,09,98,24.4031,336041323256
90,7800,29,99,24.4059,336157202595
90,7800,21,98,24.4082,336209078810
90,7800,31,98,24.4103,336240069796
90,7800,85,98,24.4125,336212447396
90,7800,11,98,24.4146,336277797953
90,7800,31,97,24.4173,336244785816
90,7800,13,99,24.4202,336204362791
90,7800,27,98,24.4222,336238722362
90,7800,02,99,24.425,336231311474
90,7800,84,98,24.4266,336213794830
90,7800,08,98,24.4292,336132948780
90,7800,20,98,24.4338,336247480684
90,7800,29,98,24.4366,336107347531
90,7800,16,97,24.4397,336136991082
90,7800,16,98,24.4431,336170676937
90,7800,84,98,24.4454,336110716116
90,7800,06,99,24.449,336167308351
90,7800,17,98,24.4518,336083093716
90,7800,15,97,24.4572,336123516741
90,7796,18,98,24.4603,336145749404
90,7796,15,98,24.4633,336075682828
90,7796,89,98,24.466,336359317720
90,7797,14,98,24.4695,336254217855
90,7789,32,99,24.4743,336170676937
90,7789,05,97,24.4778,336143054536
90,7789,22,98,24.4812,332163407720
90,7789,92,97,24.4864,331726839049
90,7789,88,98,24.4896,331717407010
90,7789,93,98,24.4925,331784778719
90,7790,22,98,24.4966,331797579343
90,7790,08,98,24.4995,331804316514
90,7790,03,98,24.5033,331539545700
90,7785,89,98,24.5088,327677799374
90,7785,02,99,24.5115,327808500488
90,7785,84,98,24.5139,327711485228
90,7785,37,98,24.5173,327747192233
90,7785,19,99,24.5198,327720917267
90,7785,24,98,24.5221,327648829539
90,7781,95,98,24.5244,327815911376
90,7781,97,97,24.5264,327836122888
90,7781,24,98,24.5286,327846902362
90,7781,28,99,24.5313,327811195356
90,7781,11,98,24.5338,327828712001
90,7781,05,98,24.5366,327869135026
90,7781,91,98,24.5382,327802437034
90,7781,97,98,24.5408,327817258810
90,7781,16,99,24.5431,327875198479
90,7781,13,98,24.546,327774814634
90,7781,25,98,24.5486,327875198479
90,7781,01,98,24.5511,327857008118
90,7781,84,98,24.553,327876545913
90,7781,09,99,24.5556,327852292098
90,7781,07,98,24.5574,327900799729
90,7781,26,98,24.5601,327952675944
90,7781,12,99,24.5624,327954697095
90,7781,31,98,24.5646,327861050421
90,7781,92,98,24.5666,328018700218
90,7781,87,97,24.5687,327961434266
90,7781,08,98,24.5706,327914947787
90,7781,35,99,24.573,327774814634
90,7781,24,98,24.5755,327877219631
90,7781,34,98,24.5775,327844881211
90,7781,92,98,24.5795,327782899239
90,7781,79,98,24.5819,327859702986
90,7781,26,98,24.5843,326104669982
90,7781,14,98,24.5865,325968579131
